id,country,lifeExpectancy
4,Afghanistan,63.2
8,Albania,77.9
12,Algeria,76.7
20,Andorra,83.7
24,Angola,61.5
28,Antigua and Barbuda,77.1
32,Argentina,76.4
36,Australia,83.4
40,Austria,81.4
31,Azerbaijan,73.6
44,Bahamas,74.1
48,Bahrain,79.0
50,Bangladesh,73.0
52,Barbados,79.3
112,Belarus,74.4
56,Belgium,81.6
84,Belize,74.6
204,Benin,61.9
64,Bhutan,72.1
68,Bolivia,69.1
70,Bosnia and Herzegovina,77.8
72,Botswana,69.9
76,Brazil,75.9
100,Bulgaria,73.4
854,Burkina Faso,61.8
108,Burundi,62.0
116,Cambodia,70.3
120,Cameroon,60.1
124,Canada,82.3
140,Central African Republic,53.3
148,Chad,53.8
152,Chile,80.2
156,China,78.2
170,Colombia,77.2
174,Comoros,64.1
178,Republic of Congo,64.7
180,DR Congo,61.0
188,Costa Rica,80.3
384,Cote d'Ivoire,58.8
191,Croatia,78.2
192,Cuba,78.8
196,Cyprus,80.9
203,Czechia,77.7
208,Denmark,81.6
262,Djibouti,67.2
214,Dominican Republic,74.1
218,Ecuador,75.2
818,Egypt,72.2
222,El Salvador,73.6
231,Ethiopia,66.2
246,Finland,81.9
250,France,82.5
266,Gabon,66.6
270,Gambia,62.9
268,Georgia,74.3
276,Germany,81.7
288,Ghana,64.3
300,Greece,82.2
320,Guatemala,73.8
324,Guinea,62.0
624,Guinea-Bissau,58.8
332,Haiti,64.0
340,Honduras,75.4
348,Hungary,75.7
356,India,70.2
360,Indonesia,68.6
364,Iran,75.5
368,Iraq,71.5
372,Ireland,82.3
376,Israel,82.6
380,Italy,83.5
388,Jamaica,74.5
392,Japan,84.3
400,Jordan,74.8
398,Kazakhstan,72.4
404,Kenya,66.7
408,North Korea,72.6
410,South Korea,83.5
414,Kuwait,78.6
418,Laos,68.5
422,Lebanon,74.8
426,Lesotho,55.0
430,Liberia,64.1
434,Libya,73.7
440,Lithuania,75.1
442,Luxembourg,82.3
450,Madagascar,67.3
454,Malawi,64.8
458,Malaysia,76.2
466,Mali,59.0
478,Mauritania,65.0
480,Mauritius,74.3
484,Mexico,73.3
496,Mongolia,70.1
504,Morocco,75.3
508,Mozambique,60.9
104,Myanmar,66.1
516,Namibia,63.7
524,Nepal,71.9
528,Netherlands,82.3
554,New Zealand,82.2
558,Nicaragua,74.5
562,Niger,62.4
566,Nigeria,54.7
578,Norway,83.2
512,Oman,77.9
586,Pakistan,67.3
591,Panama,78.5
600,Paraguay,74.3
604,Peru,76.7
608,Philippines,71.3
616,Poland,76.8
620,Portugal,81.1
634,Qatar,80.2
642,Romania,75.3
643,Russia,72.4
646,Rwanda,69.6
682,Saudi Arabia,76.5
686,Senegal,68.7
694,Sierra Leone,54.4
703,Slovakia,76.3
705,Slovenia,81.3
706,Somalia,57.4
710,South Africa,64.9
724,Spain,83.5
144,Sri Lanka,77.0
729,Sudan,65.5
752,Sweden,83.1
756,Switzerland,83.8
760,Syria,72.7
762,Tajikistan,71.4
834,Tanzania,67.0
764,Thailand,77.6
768,Togo,61.8
780,Trinidad and Tobago,74.8
788,Tunisia,76.7
792,Turkey,77.7
800,Uganda,63.4
804,Ukraine,73.0
784,United Arab Emirates,78.7
826,United Kingdom,81.3
840,United States,78.5
858,Uruguay,77.9
860,Uzbekistan,72.0
862,Venezuela,72.1
704,Vietnam,73.7
887,Yemen,66.1
894,Zambia,64.2
716,Zimbabwe,61.9
